Official division,Name type,Administrative area name,Administrative level,Description,Comment,Part of,MAEASaM ID,Geometry,resourceid
,Primary name,Wa East,Level 2,,,,ADMIN-GHA-000000120,,c7961992-7e17-46c2-99db-6cbd5f32e8b0
,Primary name,South Dayi,Level 2,,,,ADMIN-GHA-000000119,,53609266-493c-4cef-bdaa-a3f1839eadbd
,Primary name,East Gonja,Level 2,,,,ADMIN-GHA-000000118,,9f57d0cb-c5aa-4019-9fb0-ccc95e1c6c68
,Primary name,Karaga,Level 2,,,,ADMIN-GHA-000000117,,10943d63-93a0-42da-a062-a4d5c832dd2e
,Primary name,Savelugu Nanton,Level 2,,,,ADMIN-GHA-000000116,,cc519f2f-c366-44bb-9f71-532446d5aae2
,Primary name,Pru,Level 2,,,,ADMIN-GHA-000000115,,1552cc3a-cbb6-4734-ba25-bdbee1d786d5
,Primary name,Ho West,Level 2,,,,ADMIN-GHA-000000165,,9301beae-9395-498a-a0a4-3c96477ff94e
,Primary name,Hohoe Municipal,Level 2,,,,ADMIN-GHA-000000164,,417c4c7e-04ae-4ad7-a4f2-1d1cd956cd85
,Primary name,Ho Municipal,Level 2,,,,ADMIN-GHA-000000163,,4ed6f8ed-aa0f-4c8a-a563-3354f5f4a3de
,Primary name,Akatsi North,Level 2,,,,ADMIN-GHA-000000162,,d561513e-e7ec-4ed0-9265-1ec8750c3252
,Primary name,Akatsi South,Level 2,,,,ADMIN-GHA-000000161,,57b7deef-79a8-479e-b403-f228fd084e71
,Primary name,Adaklu,Level 2,,,,ADMIN-GHA-000000160,,472aad64-c8e0-49fc-b4ae-1e0ae1354890
,Primary name,Agotime Ziope,Level 2,,,,ADMIN-GHA-000000159,,b4fe3846-edee-4033-ba15-00f847c8e143
,Primary name,Krachi Nchumuru,Level 2,,,,ADMIN-GHA-000000158,,23ec28c9-07a4-4660-91de-da5e69081273
